codigo_sii,actividad_sii,mcc,categoria
282400,FABRICACIÓN DE MAQUINARIA PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS Y PARA OBRAS DE CONSTRUCCIÓN,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
282500,"FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE ALIMENTOS, BEBIDAS Y TABACO",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
282600,"FABRICACIÓN DE MAQUINARIA PARA LA ELABORACIÓN DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CUEROS",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
282900,FABRICACIÓN DE OTROS TIPOS DE MAQUINARIA DE USO ESPECIAL,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
291000,FABRICACIÓN DE VEHÍCULOS AUTOMOTORES,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
292000,FABRICACIÓN DE CARROCERÍAS PARA VEHÍCULOS AUTOMOTORES; FABRICACIÓN DE REMOLQUES Y SEMIRREMOLQUES,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
301100,"CONSTRUCCIÓN DE BUQUES, EMBARCACIONES MENORES Y ESTRUCTURAS FLOTANTES",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
301200,CONSTRUCCIÓN DE EMBARCACIONES DE RECREO Y DE DEPORTE,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
302000,FABRICACIÓN DE LOCOMOTORAS Y MATERIAL RODANTE,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
303000,"FABRICACIÓN DE AERONAVES, NAVES ESPACIALES Y MAQUINARIA CONEXA",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
304000,FABRICACIÓN DE VEHÍCULOS MILITARES DE COMBATE,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
309100,FABRICACIÓN DE MOTOCICLETAS,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
309200,FABRICACIÓN DE BICICLETAS Y DE SILLAS DE RUEDAS,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
309900,FABRICACIÓN DE OTROS TIPOS DE EQUIPO DE TRANSPORTE N.C.P.,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
310009,FABRICACIÓN DE COLCHONES; FABRICACIÓN DE OTROS MUEBLES N.C.P.,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
322000,FABRICACIÓN DE INSTRUMENTOS MUSICALES,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
323000,FABRICACIÓN DE ARTÍCULOS DE DEPORTE,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
