Código Actividad SII,Nombre Actividad SII,Código MCC,Nombre MCC,Registrado en restricciones adquirentes
072991,EXTRACCIÓN DE ZINC Y PLOMO,5051,Centros y Oficinas de Servicio de Metales,5051
072991,EXTRACCIÓN DE ZINC Y PLOMO,5085,"Suministros industriales, no clasificados en otra parte",5085
072992,EXTRACCIÓN DE MANGANESO,5051,Centros y Oficinas de Servicio de Metales,5051
072992,EXTRACCIÓN DE MANGANESO,5085,"Suministros industriales, no clasificados en otra parte",5085
072999,"EXTRACCIÓN DE OTROS MINERALES METALÍFEROS NO FERROSOS N.C.P. (EXCEPTO ZINC, PLOMO Y MANGANESO)",5051,Centros y Oficinas de Servicio de Metales,5051
072999,"EXTRACCIÓN DE OTROS MINERALES METALÍFEROS NO FERROSOS N.C.P. (EXCEPTO ZINC, PLOMO Y MANGANESO)",5085,"Suministros industriales, no clasificados en otra parte",5085
081000,"EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLA",5051,Centros y Oficinas de Servicio de Metales,5051
081000,"EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLA",5085,"Suministros industriales, no clasificados en otra parte",5085
089110,EXTRACCIÓN Y PROCESAMIENTO DE LITIO,5051,Centros y Oficinas de Servicio de Metales,5051
089110,EXTRACCIÓN Y PROCESAMIENTO DE LITIO,5085,"Suministros industriales, no clasificados en otra parte",5085
089190,EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE ABONOS Y PRODUCTOS QUÍMICOS N.C.P.,5051,Centros y Oficinas de Servicio de Metales,5051
089190,EXTRACCIÓN DE MINERALES PARA LA FABRICACIÓN DE ABONOS Y PRODUCTOS QUÍMICOS N.C.P.,5085,"Suministros industriales, no clasificados en otra parte",5085
089200,EXTRACCIÓN DE TURBA,5051,Centros y Oficinas de Servicio de Metales,5051
089200,EXTRACCIÓN DE TURBA,5085,"Suministros industriales, no clasificados en otra parte",5085
089300,EXTRACCIÓN DE SAL,5051,Centros y Oficinas de Servicio de Metales,5051
089300,EXTRACCIÓN DE SAL,5085,"Suministros industriales, no clasificados en otra parte",5085
089900,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.,5051,Centros y Oficinas de Servicio de Metales,5051
089900,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.,5085,"Suministros industriales, no clasificados en otra parte",5085
091001,ACTIVIDADES DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL PRESTADOS POR EMPRESAS,5172,Petróleo y productos derivados del petróleo,5172
091001,ACTIVIDADES DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL PRESTADOS POR EMPRESAS,5983,"Combustible: fueloil, madera, carbón, petróleo licuado",5983
091002,ACTIVIDADES DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL PRESTADOS POR PROFESIONALES,5172,Petróleo y productos derivados del petróleo,5172
091002,ACTIVIDADES DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL PRESTADOS POR PROFESIONALES,5983,"Combustible: fueloil, madera, carbón, petróleo licuado",5983
091002,ACTIVIDADES DE APOYO PARA LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL PRESTADOS POR PROFESIONALES,8999,Servicios profesionales (no definidos en otra parte),8999
099001,ACTIVIDADES DE APOYO PARA LA EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,5051,Centros y Oficinas de Servicio de Metales,5051
099001,ACTIVIDADES DE APOYO PARA LA EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS,5085,"Suministros industriales, no clasificados en otra parte",5085
099002,ACTIVIDADES DE APOYO PARA LA EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS PRESTADOS POR PROFESIONALES,5051,Centros y Oficinas de Servicio de Metales,5051
099002,ACTIVIDADES DE APOYO PARA LA EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS PRESTADOS POR PROFESIONALES,5085,"Suministros industriales, no clasificados en otra parte",5085
101011,"EXPLOTACIÓN DE MATADEROS DE BOVINOS, OVINOS, EQUINOS, CAPRINOS, PORCINOS Y CAMÉLIDOS",763,Cooperativas Agrícolas,763
101019,EXPLOTACIÓN DE MATADEROS DE AVES Y DE OTROS TIPOS DE ANIMALES N.C.P.,763,Cooperativas Agrícolas,763
101020,ELABORACIÓN Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS,5422,Proveedores de carne – Congelador y casillero,5422
102010,PRODUCCIÓN DE HARINA DE PESCADO,763,Cooperativas Agrícolas,763
102020,ELABORACIÓN Y CONSERVACIÓN DE SALMÓNIDOS,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
102030,"ELABORACIÓN Y CONSERVACIÓN DE OTROS PESCADOS, EN PLANTAS EN TIERRA (EXCEPTO BARCOS FACTORÍA)",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
102040,"ELABORACIÓN Y CONSERVACIÓN DE CRUSTÁCEOS, MOLUSCOS Y OTROS PRODUCTOS ACUÁTICOS, EN PLANTAS EN TIERRA",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
102050,"ACTIVIDADES DE ELABORACIÓN Y CONSERVACIÓN DE PESCADO, REALIZADAS EN BARCOS FACTORÍA",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
